TransactionID,Timestamp,SenderName,SenderAccount,ReceiverName,ReceiverAccount,Amount,PaymentMethod,TransactionType,IsFraud
TXN100000,2025-04-16 20:28:37,Ali Bilal,MCB-21734169,Nida Usman,Sindh Bank-11500084,18009.51,Bank Transfer,Money Transfer,0
TXN100001,2025-02-28 04:29:11,Usman Ali,Sindh Bank-36530363,Noman Noman,MCB-82707504,77344.93,JazzCash,Bill Payment,0
TXN100002,2025-03-27 22:59:11,Bilal Hina,Faysal Bank-41150925,Bilal Imran,HBL-65947387,40836.53,JazzCash,Loan Repayment,0
TXN100003,2025-07-10 16:34:11,Amna Imran,Faysal Bank-37009244,Yasir Hina,Bank Alfalah-89466655,6824.07,Bank Transfer,Money Transfer,0
TXN100004,2025-07-23 21:08:15,Fatima Bilal,Faysal Bank-54644343,Bilal Ahmed,Meezan Bank-86269761,65264.27,Easypaisa,Loan Repayment,0
TXN100005,2025-04-02 05:02:32,Zara Mehdi,Bank Alfalah-87765029,Zain Usman,Bank Alfalah-50012873,5759.53,JazzCash,Loan Repayment,0
TXN100006,2025-03-15 12:58:05,Amna Amna,Meezan Bank-42974266,Ali Noman,UBL-27797975,50772.49,Bank Transfer,Deposit,0
TXN100007,2025-02-12 12:37:51,Bilal Imran,Bank Alfalah-84509826,Bilal Mehdi,UBL-87620067,66354.29,Bank Transfer,Bill Payment,0
TXN100008,2025-07-10 16:26:20,Mehdi Amna,MCB-14383979,Tariq Hassan,MCB-24875875,93163.41,HBL Konnect,Cash Withdrawal,0
TXN100009,2025-06-09 18:33:01,Ahmed Khan,Meezan Bank-30232384,Fatima Usman,HBL-36112776,5044.44,HBL Konnect,Bill Payment,0
TXN100010,2025-04-15 22:50:28,Hina Hassan,Bank Alfalah-19698928,Ahmed Hina,UBL-79678038,97885.16,UBL Omni,Bill Payment,0
TXN100011,2025-02-19 18:59:14,Hina Zain,UBL-80201505,Zara Khan,Faysal Bank-47659863,48249.31,UBL Omni,Deposit,0
TXN100012,2025-07-07 09:47:12,Imran Fatima,UBL-40671795,Hina Ahmed,MCB-32449148,6834.39,Easypaisa,Cash Withdrawal,0
TXN100013,2025-04-17 17:20:38,Usman Nida,Faysal Bank-14813757,Ali Ahmed,MCB-50780141,77617.78,Bank Transfer,Money Transfer,0
TXN100014,2025-03-26 23:29:18,Amna Ahmed,Bank Alfalah-29384527,Nida Zara,HBL-22191501,84279.43,Easypaisa,Money Transfer,0
TXN100015,2025-03-13 15:52:11,Fatima Ali,Askari Bank-21682066,Shahid Bilal,Meezan Bank-54101972,79736.68,HBL Konnect,Loan Repayment,0
TXN100016,2025-07-16 00:32:04,Nida Usman,Askari Bank-41806273,Hina Yasir,HBL-82578129,16041.01,Easypaisa,Bill Payment,0
TXN100017,2025-06-27 12:55:44,Zain Zara,Bank Alfalah-70068697,Hina Tariq,Faysal Bank-35291224,88876.48,Easypaisa,Bill Payment,0
TXN100018,2025-04-18 21:06:26,Nida Khan,Meezan Bank-64989115,Mehdi Fatima,Askari Bank-76242674,1769.16,Bank Transfer,Loan Repayment,0
TXN100019,2025-06-15 14:14:23,Usman Ahmed,UBL-11924382,Ayesha Khan,Bank Alfalah-50382895,9046.98,UBL Omni,Bill Payment,0
TXN100020,2025-01-26 09:44:38,Khan Yasir,UBL-87831143,Ahmed Ali,Meezan Bank-26033021,21140.08,UBL Omni,Deposit,0
TXN100021,2025-05-14 03:46:14,Usman Imran,UBL-61905541,Ali Ahmed,HBL-98308300,21630.84,Easypaisa,Bill Payment,0
TXN100022,2025-06-06 04:46:37,Zara Nida,MCB-19962823,Ali Bilal,Bank Alfalah-44664230,24858.63,Easypaisa,Cash Withdrawal,0
TXN100023,2025-05-13 03:58:50,Imran Amna,Bank Alfalah-70540811,Amna Khan,Meezan Bank-45980439,69558.9,JazzCash,Cash Withdrawal,0
TXN100024,2025-03-30 11:11:44,Ali Hina,Bank Alfalah-39027216,Tariq Saad,Askari Bank-16016042,59822.2,UBL Omni,Bill Payment,0
TXN100025,2025-04-20 20:25:48,Mehdi Ali,Meezan Bank-21970454,Shahid Ali,Askari Bank-42249125,40226.46,UBL Omni,Money Transfer,0
TXN100026,2025-04-02 20:23:12,Tariq Ali,Askari Bank-35019882,Hassan Bilal,Bank Alfalah-65654566,61843.36,UBL Omni,Loan Repayment,0
TXN100027,2025-05-06 08:32:33,Tariq Saad,MCB-37481311,Tariq Usman,Faysal Bank-39026170,47860.41,Easypaisa,Deposit,0
TXN100028,2025-06-15 07:07:01,Usman Tariq,Askari Bank-99394089,Nida Saad,Meezan Bank-26010236,96922.87,UBL Omni,Cash Withdrawal,0
TXN100029,2025-07-08 17:33:04,Amna Yasir,Askari Bank-72766477,Hina Zain,Bank Alfalah-12660099,33703.4,Easypaisa,Money Transfer,0
TXN100030,2025-02-12 11:37:16,Yasir Ali,Faysal Bank-81670219,Ali Ali,Askari Bank-39510809,79480.02,HBL Konnect,Bill Payment,0
TXN100031,2025-07-24 20:46:11,Hina Mehdi,Sindh Bank-95304432,Fatima Amna,MCB-42604211,40030.06,JazzCash,Money Transfer,0
TXN100032,2025-04-04 13:50:18,Imran Tariq,Bank Alfalah-20713771,Hassan Ali,Askari Bank-98740586,35411.72,Bank Transfer,Deposit,0
TXN100033,2025-03-15 07:48:06,Zain Nida,Meezan Bank-86818580,Noman Ahmed,MCB-22510904,38626.72,JazzCash,Deposit,0
TXN100034,2025-06-07 07:04:10,Yasir Amna,Meezan Bank-55586004,Hassan Shahid,UBL-96277458,1909.63,Easypaisa,Loan Repayment,0
TXN100035,2025-02-13 13:32:15,Saad Noman,MCB-39283545,Saad Ali,Faysal Bank-95487176,78932.46,HBL Konnect,Deposit,0
TXN100036,2025-07-25 05:38:35,Zain Mehdi,Bank Alfalah-97517422,Usman Imran,Faysal Bank-53932858,49720.91,Easypaisa,Deposit,0
TXN100037,2025-04-09 00:36:35,Usman Shahid,Meezan Bank-17907980,Shahid Ali,Sindh Bank-58312034,14611.41,UBL Omni,Loan Repayment,0
TXN100038,2025-03-12 16:20:19,Usman Ali,Sindh Bank-19866268,Bilal Zara,HBL-90672195,71607.41,Easypaisa,Money Transfer,0
TXN100039,2025-02-01 11:53:13,Imran Saad,Meezan Bank-35561027,Hassan Ali,Meezan Bank-78811712,31360.27,JazzCash,Bill Payment,0
TXN100040,2025-02-04 06:24:24,Ayesha Hassan,Meezan Bank-45866284,Nida Khan,MCB-76996714,74110.0,Easypaisa,Deposit,0
TXN100041,2025-05-31 23:15:47,Ali Ali,MCB-52241207,Zara Tariq,Askari Bank-90648180,285.35,Bank Transfer,Cash Withdrawal,0
TXN100042,2025-04-11 08:07:32,Imran Amna,Meezan Bank-51071719,Bilal Hina,Faysal Bank-73630680,48107.03,HBL Konnect,Cash Withdrawal,0
TXN100043,2025-07-13 09:06:56,Zain Ali,Faysal Bank-79920128,Khan Usman,Bank Alfalah-92949104,30113.89,HBL Konnect,Bill Payment,0
TXN100044,2025-05-26 16:11:20,Tariq Zara,Faysal Bank-70744395,Ayesha Fatima,MCB-88530417,53181.02,HBL Konnect,Money Transfer,0
TXN100045,2025-04-25 11:11:26,Usman Noman,UBL-59040932,Yasir Nida,HBL-89851351,62786.1,HBL Konnect,Bill Payment,0
TXN100046,2025-07-17 14:34:45,Nida Fatima,Meezan Bank-69673261,Tariq Amna,HBL-85390949,21523.52,Easypaisa,Loan Repayment,0
TXN100047,2025-04-02 07:01:47,Nida Shahid,UBL-47346061,Ahmed Zain,HBL-67319823,32073.96,JazzCash,Money Transfer,0
TXN100048,2025-05-24 05:53:28,Saad Bilal,HBL-72551899,Ayesha Ali,MCB-83465236,66494.14,HBL Konnect,Loan Repayment,0
TXN100049,2025-02-26 22:04:44,Ayesha Khan,HBL-67349297,Ayesha Imran,HBL-10497900,6659.47,JazzCash,Cash Withdrawal,0
TXN100050,2025-07-22 21:50:44,Khan Yasir,Faysal Bank-59840616,Noman Khan,Sindh Bank-54055132,22988.84,UBL Omni,Loan Repayment,0
TXN100051,2025-07-22 03:46:31,Khan Ali,Meezan Bank-17022731,Khan Shahid,Bank Alfalah-40232008,53524.09,UBL Omni,Money Transfer,0
TXN100052,2025-04-12 02:50:20,Khan Hina,UBL-80031623,Hina Imran,Sindh Bank-25312197,55979.14,Easypaisa,Cash Withdrawal,0
TXN100053,2025-07-09 19:10:12,Ali Yasir,Meezan Bank-89810126,Nida Hassan,Meezan Bank-16604238,46704.84,JazzCash,Cash Withdrawal,0
TXN100054,2025-03-25 04:50:16,Amna Nida,HBL-28473744,Hina Shahid,MCB-51822022,24315.51,HBL Konnect,Deposit,0
TXN100055,2025-07-06 17:56:51,Shahid Fatima,MCB-94226298,Shahid Noman,UBL-82542216,36677.34,Easypaisa,Deposit,0
TXN100056,2025-07-06 10:31:24,Fatima Zara,UBL-11665354,Fatima Ahmed,Meezan Bank-82020662,60867.71,JazzCash,Deposit,0
TXN100057,2025-05-03 12:22:22,Hassan Zain,Meezan Bank-21833815,Hina Khan,Meezan Bank-11037201,25841.56,JazzCash,Bill Payment,0
TXN100058,2025-05-31 07:56:15,Yasir Noman,Sindh Bank-66636969,Usman Ahmed,Meezan Bank-53742868,39842.56,HBL Konnect,Bill Payment,0
TXN100059,2025-03-12 10:10:16,Hina Saad,UBL-94673670,Usman Usman,HBL-11289122,59652.63,JazzCash,Loan Repayment,0
TXN100060,2025-07-02 17:46:32,Imran Hassan,HBL-49490686,Nida Usman,Faysal Bank-91515025,7777.19,HBL Konnect,Cash Withdrawal,0
TXN100061,2025-01-28 11:10:05,Ali Hassan,UBL-82271237,Nida Nida,Faysal Bank-19962760,43662.26,Easypaisa,Bill Payment,0
TXN100062,2025-03-19 03:25:13,Ahmed Khan,Sindh Bank-75784404,Khan Mehdi,UBL-52220639,21225.36,HBL Konnect,Deposit,0
TXN100063,2025-02-16 02:19:21,Mehdi Bilal,Askari Bank-56682187,Shahid Ayesha,MCB-97582732,39231.23,UBL Omni,Loan Repayment,0
TXN100064,2025-04-27 15:36:24,Ali Yasir,Askari Bank-71242212,Fatima Amna,Faysal Bank-77070833,22880.18,JazzCash,Deposit,0
TXN100065,2025-07-24 15:22:24,Imran Saad,Askari Bank-35688326,Zara Noman,Meezan Bank-25183264,20286.94,Bank Transfer,Cash Withdrawal,0
TXN100066,2025-03-21 20:54:30,Zara Zain,HBL-43308298,Ali Khan,Askari Bank-59012591,94257.08,Easypaisa,Money Transfer,0
TXN100067,2025-05-07 05:54:12,Noman Shahid,Faysal Bank-38346583,Tariq Noman,UBL-72838975,78004.28,HBL Konnect,Loan Repayment,0
TXN100068,2025-01-30 17:04:30,Hassan Shahid,Meezan Bank-32238251,Tariq Ali,MCB-26984504,97849.64,Easypaisa,Bill Payment,0
TXN100069,2025-04-02 10:06:53,Yasir Fatima,Askari Bank-54919282,Mehdi Khan,Faysal Bank-56510692,37953.24,Easypaisa,Deposit,0
TXN100070,2025-06-05 06:59:49,Khan Hassan,HBL-89972230,Ali Bilal,Faysal Bank-36499203,32128.1,JazzCash,Loan Repayment,0
TXN100071,2025-02-17 12:37:47,Ali Usman,MCB-22188794,Zara Shahid,Meezan Bank-47470981,62008.29,HBL Konnect,Deposit,0
TXN100072,2025-01-26 19:58:56,Imran Saad,Sindh Bank-99624978,Ali Shahid,UBL-90230893,55177.8,JazzCash,Deposit,0
TXN100073,2025-07-16 03:34:56,Mehdi Shahid,MCB-29734959,Zara Yasir,Faysal Bank-48865899,95898.97,JazzCash,Deposit,0
TXN100074,2025-07-06 01:23:58,Khan Zain,Askari Bank-61984201,Yasir Khan,Sindh Bank-87155234,82884.31,JazzCash,Cash Withdrawal,0
TXN100075,2025-03-23 17:43:58,Fatima Imran,Bank Alfalah-35610080,Imran Nida,HBL-49820554,71657.09,HBL Konnect,Loan Repayment,0
TXN100076,2025-03-04 06:11:05,Tariq Hassan,MCB-21266561,Imran Imran,Faysal Bank-57241408,11868.75,JazzCash,Money Transfer,0
TXN100077,2025-03-13 06:53:09,Nida Ali,HBL-95523708,Zain Fatima,Meezan Bank-66247540,67304.41,UBL Omni,Cash Withdrawal,0
TXN100078,2025-05-18 05:47:32,Khan Noman,MCB-97800635,Ali Khan,UBL-54099375,58863.31,HBL Konnect,Bill Payment,0
